id,symbol,side,entry_type,entry_price,initial_sl,current_sl,size,leverage,sl_percent,status,partial_exit_done,max_r_locked,realized_pnl_points,opened_at,closed_at
221708ed,ETHUSDT,BUY,PRIMARY,2491.178333333334,2473.8133333333344,2473.8133333333344,0.575871,0.0,0.0,CLOSED,False,0,-10.0,2026-09-07T20:27:56.966232+00:00,2026-09-08T05:59:09.701534+00:00
78c32ac1,ETHUSDT,BUY,PRIMARY,2487.7783333333336,2474.8233333333337,2487.7783333333336,0.771903,0.0,0.0,CLOSED,True,1,5.0,2026-09-08T01:07:37.475970+00:00,2026-09-08T04:01:58.776464+00:00
1c85129e,ETHINR,SELL,PRIMARY,237671.0,239356.0,239356.0,0.593472,0.0,0.0,CLOSED,False,0,-1000.0003,2026-09-08T04:01:56.813966+00:00,2026-09-08T04:01:59.389709+00:00
f496ed56,ETHUSDT,BUY,PRIMARY,2476.546666666666,2462.4866666666658,2462.4866666666658,0.711238,0.0,0.0,CLOSED,False,0,-10.0,2026-09-08T08:07:05.063681+00:00,2026-09-08T08:07:08.947492+00:00
ad15209a,ETHINR,SELL,PRIMARY,236645.3333333333,238386.3333333333,236645.3333333333,0.574383,0.0,0.0,CLOSED,True,1,500.0004,2026-09-08T12:01:17.304117+00:00,2026-09-08T14:15:47.716734+00:00
a41c0048,ETHUSDT,BUY,PRIMARY,2488.7183333333337,2456.0233333333335,2456.0233333333335,0.305857,30,0.0,CLOSED,False,0,-10.0,2026-09-08T16:01:21.273770+00:00,2026-09-09T21:50:47.331409+00:00
9c18687c,ETHINR,SELL,PRIMARY,237387.6666666667,239297.6666666667,239297.6666666667,0.52356,30,0.8046,CLOSED,False,0,-999.9996,2026-09-08T20:01:21.805666+00:00,2026-09-09T04:45:40.694419+00:00
0ad65c72,ETHINR,SELL,PRIMARY,237328.8333333333,238181.3333333333,238181.3333333333,1.173021,30,0.3592,CLOSED,False,0,-1000.0004,2026-09-09T00:01:18.288619+00:00,2026-09-09T00:15:42.709573+00:00
ae154d53,ETHINR,SELL,PRIMARY,237845.6666666667,238811.6666666667,238811.6666666667,1.035197,30,0.4061,CLOSED,False,0,-1000.0003,2026-09-09T04:01:12.563972+00:00,2026-09-09T04:05:36.713411+00:00
e36f0f2a,ETHUSDT,BUY,PRIMARY,2507.0616666666665,2490.336666666666,2490.336666666666,0.597907,30,0.6671,CLOSED,False,0,-10.0,2026-09-09T08:01:11.510729+00:00,2026-09-09T09:55:33.987291+00:00
b66c75c2,ETHINR,SELL,PRIMARY,238905.8333333333,241142.3333333333,236669.3333333333,0.447127,30,0.9361,CLOSED,True,2,999.9995,2026-09-09T12:01:22.007606+00:00,2026-09-10T03:05:32.723293+00:00
a3129829,ETHINR,SELL,PRIMARY,238021.5,240700.0,235343.0,0.373343,30,1.1253,CLOSED,True,2,999.9992,2026-09-09T16:01:19.411766+00:00,2026-09-10T17:31:01.937168+00:00
2b12aacb,ETHINR,SELL,PRIMARY,235935.3333333333,237973.3333333333,235935.3333333333,0.490677,30,0.8638,CLOSED,True,1,499.9999,2026-09-09T20:01:12.458827+00:00,2026-09-10T00:05:33.143117+00:00
a1ad8361,ETHUSDT,BUY,PRIMARY,2463.296666666666,2445.536666666666,2463.296666666666,0.563063,30,0.721,CLOSED,True,1,5.0,2026-09-10T00:01:09.005969+00:00,2026-09-10T07:35:35.550447+00:00
ef3f51ad,ETHUSDT,BUY,PRIMARY,2471.596666666667,2457.5066666666667,2457.5066666666667,0.709723,30,0.5701,CLOSED,False,0,-10.0,2026-09-10T04:01:11.818225+00:00,2026-09-10T12:10:43.707820+00:00
62b1cf4f,ETHINR,SELL,PRIMARY,236345.6666666667,237587.6666666667,235103.6666666667,0.805153,30,0.5255,CLOSED,True,2,1000.0,2026-09-10T08:01:08.297820+00:00,2026-09-10T12:31:02.765917+00:00
5cb3b496,ETHINR,SELL,PRIMARY,235454.0,236619.0,235454.0,0.858369,30,0.4948,CLOSED,True,1,499.9999,2026-09-10T12:01:21.341266+00:00,2026-09-10T12:31:04.131860+00:00
583c304c,ETHUSDT,BUY,PRIMARY,2438.2650000000003,2404.92,2438.2650000000003,0.299895,30,1.3676,CLOSED,True,1,5.0,2026-09-10T16:01:20.306181+00:00,2026-09-10T23:10:43.899999+00:00
3ccf33e7,ETHUSDT,BUY,PRIMARY,2458.3633333333337,2434.4533333333334,2434.4533333333334,0.418235,30,0.9726,CLOSED,False,0,-10.0,2026-09-10T20:01:14.926204+00:00,2026-09-10T23:15:42.080243+00:00
1e106d90,ETHINR,SELL,PRIMARY,233430.5,235310.0,235310.0,0.532056,30,0.8052,CLOSED,False,0,-999.9993,2026-09-11T00:01:14.650144+00:00,2026-09-11T04:30:55.792492+00:00
f87a0e41,ETHINR,SELL,PRIMARY,233923.5,235255.0,235255.0,0.751033,30,0.5692,CLOSED,False,0,-1000.0004,2026-09-11T04:01:12.180324+00:00,2026-09-11T04:30:56.332929+00:00
87256e3d,ETHUSDT,BUY,PRIMARY,2464.066666666666,2448.206666666666,2448.206666666666,0.630517,30,0.6437,OPEN,False,0,0.0,2026-09-11T08:01:12.602300+00:00,
d31ba403,ETHINR,SELL,PRIMARY,235215.5,237011.0,237011.0,0.556948,30,0.7633,OPEN,False,0,0.0,2026-09-11T12:01:11.792289+00:00,
